repeat,fold,target,arm,n,f1_macro,balanced_accuracy,cohen_kappa,quadratic_kappa,auroc_ovr_macro
2,1,sodium_sensitivity,tabnet,32665,0.3907691680520877,0.525369860736975,0.17226082899291517,0.20580188887633288,0.7510247154848297
2,1,sodium_sensitivity,rules,32665,0.38021350291351125,0.46809954037687046,0.12752704430218387,0.20124982324389373,
2,1,potassium_sensitivity,tabnet,39663,0.41569851439009636,0.47841833399819267,0.17333773817936937,0.24443787087562907,0.7175250342497889
2,1,potassium_sensitivity,rules,39663,0.3878850846133484,0.4616812409727818,0.1338624781286606,0.22889016476139135,
2,1,protein_restriction,tabnet,39539,0.3908273704303364,0.4889445409869139,0.1558484895047958,0.0762457574177755,0.6835809432349716
2,1,protein_restriction,rules,39539,0.32184108204356615,0.3609960512520043,0.09652879250952928,0.15767486040060508,
2,1,carb_sensitivity,tabnet,39423,0.49271583133118924,0.5344611846387811,0.3007962292977081,0.43000010201684846,0.7761650354567534
2,1,carb_sensitivity,rules,39423,0.31881578269585975,0.4239094681225281,0.0896910971483893,0.1752069226057894,
2,2,sodium_sensitivity,tabnet,32452,0.39515530833092466,0.523277335718471,0.18223380954248525,0.22120128918728055,0.7559332156297028
2,2,sodium_sensitivity,rules,32452,0.36110669758558406,0.44790258173792585,0.11202570225190056,0.19118124983831075,
2,2,potassium_sensitivity,tabnet,39542,0.41688025782324845,0.4788102191939509,0.17365709887622305,0.24491061128504865,0.7205994489455888
2,2,potassium_sensitivity,rules,39542,0.38028368566536797,0.45971496395063777,0.12788615214587118,0.21556214270632612,
2,2,protein_restriction,tabnet,39436,0.3792455557796443,0.4919376837141736,0.14681565084345383,0.060010251983502405,0.6844446267869427
2,2,protein_restriction,rules,39436,0.3155159917097577,0.3508455449567236,0.09213077479012399,0.1553660436746095,
2,2,carb_sensitivity,tabnet,39326,0.4944920742992946,0.5326019892958543,0.30670607446680465,0.41341441026045145,0.7731665284090387
2,2,carb_sensitivity,rules,39326,0.3179638187884115,0.42446709455172266,0.08936800797175815,0.17183829272658602,
2,3,sodium_sensitivity,tabnet,31493,0.388378323415925,0.508933459371526,0.17110705695584438,0.20989168733937602,0.7436520306461428
2,3,sodium_sensitivity,rules,31493,0.365796999211838,0.4516567474852138,0.11734459765412675,0.1792613849856427,
2,3,potassium_sensitivity,tabnet,38899,0.41623919943199955,0.4858512152197069,0.1771617685070226,0.2519649594342178,0.7213390089566064
2,3,potassium_sensitivity,rules,38899,0.39097359869274895,0.4673308587433029,0.13651610618438037,0.23208152238084578,
2,3,protein_restriction,tabnet,38794,0.38689633454984107,0.4771470131426148,0.15123851482510342,0.0778835487861902,0.6720762650063633
2,3,protein_restriction,rules,38794,0.31716082918750604,0.35540478143640364,0.08935779239168806,0.14878591450861856,
2,3,carb_sensitivity,tabnet,38655,0.5049394434019305,0.5288459695726838,0.3087271451366371,0.44672226211421073,0.7703610547325342
2,3,carb_sensitivity,rules,38655,0.3203727584320931,0.4259612305057742,0.09132347024403442,0.17216775933109474,
2,4,sodium_sensitivity,tabnet,32433,0.38784839930044385,0.5019147778999712,0.167004890596668,0.2042852010591405,0.7441424306862361
2,4,sodium_sensitivity,rules,32433,0.36156145458814026,0.44622694082400133,0.11899582495506467,0.1904780295721782,
2,4,potassium_sensitivity,tabnet,39822,0.40487643955614305,0.48039308671296826,0.16293218048981162,0.23991592248513627,0.7216129185352204
2,4,potassium_sensitivity,rules,39822,0.3854510762986469,0.46650690844831844,0.13491496301123218,0.22447741861145665,
2,4,protein_restriction,tabnet,39713,0.35498060247116947,0.47939992076613896,0.12440469364219031,0.05164894431013145,0.6748509695200443
2,4,protein_restriction,rules,39713,0.31969075434984406,0.3614966000022084,0.09365815160030211,0.14850365911280694,
2,4,carb_sensitivity,tabnet,39628,0.4935751113875859,0.5302855978645518,0.30065435901710613,0.4195979755067607,0.7731238569829321
2,4,carb_sensitivity,rules,39628,0.3169602875366085,0.4262338060206052,0.0877651029819515,0.16777176530501237,
3,0,sodium_sensitivity,tabnet,32690,0.3881211443736472,0.5172031852396993,0.17103218341708593,0.21708145644608723,0.7535501559820532
3,0,sodium_sensitivity,rules,32690,0.36857097021415575,0.45523793090445336,0.1255122223641204,0.19310507340728722,
3,0,potassium_sensitivity,tabnet,39795,0.41806293093767394,0.48773716687292296,0.1766803478413307,0.256847879938804,0.7294636183301494
3,0,potassium_sensitivity,rules,39795,0.3863879186839701,0.46597405965229877,0.13521452972963743,0.22886530392030013,
3,0,protein_restriction,tabnet,39720,0.3913707735351423,0.49735579589034656,0.15867488190418222,0.07654905900612052,0.6883476741708155
3,0,protein_restriction,rules,39720,0.31834369675554236,0.3581745323792416,0.0958176720260715,0.15640826578597544,
3,0,carb_sensitivity,tabnet,39597,0.49877578839519554,0.5301375207962257,0.3014113855839877,0.4277800978451004,0.7733186531619077
3,0,carb_sensitivity,rules,39597,0.3232449757595743,0.43116746336312256,0.09605917701671463,0.1762628721522317,
